12-08 13:22:48.914 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.70061576
12-08 13:22:48.914 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.8180602
12-08 13:22:48.930 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.22708179
12-08 13:22:48.930 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.28948912
12-08 13:22:48.930 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.7476697
12-08 13:22:48.930 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.79181856
12-08 13:22:48.950 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.16632283
12-08 13:22:48.950 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.22097987
12-08 13:22:48.950 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.5201329
12-08 13:22:48.950 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.70600486
12-08 13:22:48.970 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0769956
12-08 13:22:48.970 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.096894994
12-08 13:22:48.970 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.33236095
12-08 13:22:48.970 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.5505078
12-08 13:22:48.990 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.022243794
12-08 13:22:48.990 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.14839229
12-08 13:22:48.990 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.42281592
12-08 13:22:48.990 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.48425037
12-08 13:22:49.013 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.07915698
12-08 13:22:49.013 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.29807022
12-08 13:22:49.013 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.39090744
12-08 13:22:49.013 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.24013612
12-08 13:22:49.030 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.073865145
12-08 13:22:49.030 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.28628978
12-08 13:22:49.030 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.17696717
12-08 13:22:49.030 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.11312948
12-08 13:22:49.049 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.10280703
12-08 13:22:49.049 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.1599738
12-08 13:22:49.049 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.017040417
12-08 13:22:49.049 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.006424777
12-08 13:22:49.069 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.12823988
12-08 13:22:49.069 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.12954786
12-08 13:22:49.070 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.067429446
12-08 13:22:49.070 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.10338194
12-08 13:22:49.090 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.09266596
12-08 13:22:49.090 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.19828959
12-08 13:22:49.090 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.27994314
12-08 13:22:49.090 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.048094213
12-08 13:22:49.114 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.0056935586
12-08 13:22:49.114 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.22803
12-08 13:22:49.114 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.5952854
12-08 13:22:49.114 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.19138755
12-08 13:22:49.131 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.09114773
12-08 13:22:49.131 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.35592207
12-08 13:22:49.131 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.76781756
12-08 13:22:49.131 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.3350429
12-08 13:22:49.150 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.16853082
12-08 13:22:49.150 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.31340116
12-08 13:22:49.151 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.7024339
12-08 13:22:49.151 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.34933817
12-08 13:22:49.171 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.13422808
12-08 13:22:49.171 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.38491338
12-08 13:22:49.171 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.6343808
12-08 13:22:49.171 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.42885765
12-08 13:22:49.191 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.046640113
12-08 13:22:49.191 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.53960836
