12-08 13:23:28.233 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -2.0744524
12-08 13:23:28.253 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 1.3084866
12-08 13:23:28.253 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 2.681566
12-08 13:23:28.253 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.30429107
12-08 13:23:28.253 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -2.049964
12-08 13:23:28.273 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 1.2434605
12-08 13:23:28.273 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 2.3059478
12-08 13:23:28.273 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.05529028
12-08 13:23:28.273 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -2.6124744
12-08 13:23:28.296 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.9306606
12-08 13:23:28.296 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 2.329818
12-08 13:23:28.296 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.087599084
12-08 13:23:28.296 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -2.8320591
12-08 13:23:28.314 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.10838181
12-08 13:23:28.314 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.8091693
12-08 13:23:28.314 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.1608683
12-08 13:23:28.314 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -1.0942252
12-08 13:23:28.333 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.83815205
12-08 13:23:28.334 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.4059045
12-08 13:23:28.334 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -3.1456678
12-08 13:23:28.334 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.92558396
12-08 13:23:28.354 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.47203556
12-08 13:23:28.354 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.7878177
12-08 13:23:28.354 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -2.4742427
12-08 13:23:28.354 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 2.2135062
12-08 13:23:28.374 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.039929405
12-08 13:23:28.374 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.3526337
12-08 13:23:28.374 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.1086755
12-08 13:23:28.374 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -1.4278007
12-08 13:23:28.396 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.5115331
12-08 13:23:28.396 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.9918501
12-08 13:23:28.396 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.91512424
12-08 13:23:28.396 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.47857738
12-08 13:23:28.414 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.19365147
12-08 13:23:28.414 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.4475223
12-08 13:23:28.414 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -3.9912634
12-08 13:23:28.414 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.24072623
12-08 13:23:28.434 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.1552805
12-08 13:23:28.434 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.57189167
12-08 13:23:28.434 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -4.954953
12-08 13:23:28.434 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -1.2279084
12-08 13:23:28.455 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.035444457
12-08 13:23:28.455 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.4990241
12-08 13:23:28.455 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -2.464407
12-08 13:23:28.455 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -1.9013135
12-08 13:23:28.474 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.1138961
12-08 13:23:28.474 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.47817448
12-08 13:23:28.474 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.0817525
12-08 13:23:28.474 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -1.371933
12-08 13:23:28.494 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.26339513
12-08 13:23:28.494 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.90876174
12-08 13:23:28.494 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.070931196
12-08 13:23:28.494 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.19264114
12-08 13:23:28.515 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.5927693
12-08 13:23:28.515 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.6497079
12-08 13:23:28.515 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.9949073
12-08 13:23:28.515 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.33505058
12-08 13:23:28.536 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.3663335
12-08 13:23:28.536 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.23749167
12-08 13:23:28.536 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.5192931
12-08 13:23:28.536 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.6447538
12-08 13:23:28.556 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.008598916
12-08 13:23:28.556 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.1741221
12-08 13:23:28.556 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.4450281
12-08 13:23:28.557 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.68747807
12-08 13:23:28.575 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.11060822
12-08 13:23:28.575 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.32445356
12-08 13:23:28.575 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.68289685
12-08 13:23:28.575 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.6195037
12-08 13:23:28.595 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.31310177
12-08 13:23:28.595 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.53240895
12-08 13:23:28.595 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.07039875
12-08 13:23:28.595 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.45258045
12-08 13:23:28.617 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.1595363
12-08 13:23:28.617 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.67803204
12-08 13:23:28.617 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.12988082
12-08 13:23:28.617 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.28321505
12-08 13:23:28.636 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.12596405
12-08 13:23:28.636 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.40445405
12-08 13:23:28.636 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.51288074
12-08 13:23:28.636 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.3451903
12-08 13:23:28.657 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.26959336
12-08 13:23:28.657 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.057139188
12-08 13:23:28.657 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.6413958
12-08 13:23:28.657 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.07891807
12-08 13:23:28.677 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.031066522
12-08 13:23:28.677 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.010582399
12-08 13:23:28.677 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 0.16103959
12-08 13:23:28.677 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.32296413
12-08 13:23:28.696 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.24865037
12-08 13:23:28.696 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.29144627
12-08 13:23:28.696 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.5381417
12-08 13:23:28.696 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.47735232
12-08 13:23:28.718 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.25622636
12-08 13:23:28.718 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.19195002
12-08 13:23:28.718 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.59940743
12-08 13:23:28.718 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.38081852
12-08 13:23:28.738 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.15250957
12-08 13:23:28.738 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.09102441
12-08 13:23:28.738 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.2696436
12-08 13:23:28.738 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.47097248
12-08 13:23:28.758 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.12965539
12-08 13:23:28.758 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.19367781
12-08 13:23:28.758 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.16673338
