12-08 13:20:28.523 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.9167412
12-08 13:20:28.523 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.8482132
12-08 13:20:28.523 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.6922089
12-08 13:20:28.543 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.034863077
12-08 13:20:28.543 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.1139917
12-08 13:20:28.543 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.199789
12-08 13:20:28.543 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.73857045
12-08 13:20:28.566 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.068240434
12-08 13:20:28.566 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.0069299
12-08 13:20:28.566 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.5243409
12-08 13:20:28.566 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.7550597
12-08 13:20:28.584 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.26243973
12-08 13:20:28.584 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.0622704
12-08 13:20:28.584 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.4101127
12-08 13:20:28.584 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.7265012
12-08 13:20:28.604 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.28889468
12-08 13:20:28.604 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.4369198
12-08 13:20:28.604 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.4503686
12-08 13:20:28.604 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.5985909
12-08 13:20:28.624 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.17250948
12-08 13:20:28.624 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.569882
12-08 13:20:28.624 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 1.9544728
12-08 13:20:28.624 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.7851074
12-08 13:20:28.644 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.060597263
12-08 13:20:28.644 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.3146834
12-08 13:20:28.644 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.5971875
12-08 13:20:28.644 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.9190285
12-08 13:20:28.667 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.008203603
12-08 13:20:28.667 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.4594268
12-08 13:20:28.667 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.5896688
12-08 13:20:28.667 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.86014664
12-08 13:20:28.685 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.011970844
12-08 13:20:28.685 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.5834178
12-08 13:20:28.686 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.5387952
12-08 13:20:28.686 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.5976879
12-08 13:20:28.706 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.116969585
12-08 13:20:28.706 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.488419
12-08 13:20:28.706 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.3759081
12-08 13:20:28.706 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.57984835
12-08 13:20:28.726 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.10818085
12-08 13:20:28.726 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.559225
12-08 13:20:28.726 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.2649283
12-08 13:20:28.726 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.91251093
12-08 13:20:28.746 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.0354891
12-08 13:20:28.746 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.50367
12-08 13:20:28.746 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.4887543
12-08 13:20:28.746 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.9689954
12-08 13:20:28.769 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.22508076
12-08 13:20:28.769 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -1.5827765
12-08 13:20:28.769 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: 2.947415
