12-08 13:21:30.611 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.053896047
12-08 13:21:30.611 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.48320675
12-08 13:21:30.611 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.2875364
12-08 13:21:30.611 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.6585238
12-08 13:21:30.630 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.1292296
12-08 13:21:30.630 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.32691726
12-08 13:21:30.630 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.1838129
12-08 13:21:30.630 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.47023678
12-08 13:21:30.650 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.049308635
12-08 13:21:30.650 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.57568175
12-08 13:21:30.650 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.1630969
12-08 13:21:30.650 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.62324154
12-08 13:21:30.672 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.021353794
12-08 13:21:30.672 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.5580482
12-08 13:21:30.672 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.7189127
12-08 13:21:30.673 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.38913774
12-08 13:21:30.690 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.041737393
12-08 13:21:30.690 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.6390844
12-08 13:21:30.690 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.49053478
12-08 13:21:30.690 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.23670334
12-08 13:21:30.710 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.027013917
12-08 13:21:30.710 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.7963707
12-08 13:21:30.710 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.8636313
12-08 13:21:30.710 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.2577918
12-08 13:21:30.731 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.075688615
12-08 13:21:30.731 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.89308894
12-08 13:21:30.731 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.030122
12-08 13:21:30.731 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.2722052
12-08 13:21:30.751 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.07651823
12-08 13:21:30.751 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.81194514
12-08 13:21:30.752 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.136285
12-08 13:21:30.752 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.22307973
12-08 13:21:30.772 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.060373455
12-08 13:21:30.772 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.59365684
12-08 13:21:30.772 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.63583946
12-08 13:21:30.772 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.40025657
12-08 13:21:30.792 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.039623372
12-08 13:21:30.792 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.55701625
12-08 13:21:30.792 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.42129028
12-08 13:21:30.792 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.1902394
12-08 13:21:30.811 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.12983571
12-08 13:21:30.811 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.0207193
12-08 13:21:30.811 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.9352783
12-08 13:21:30.811 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.105672434
12-08 13:21:30.832 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.07929568
12-08 13:21:30.832 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.1514475
12-08 13:21:30.832 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.8815113
12-08 13:21:30.832 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.117582306
12-08 13:21:30.851 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.12217128
12-08 13:21:30.851 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.48949337
12-08 13:21:30.851 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.0101322
12-08 13:21:30.851 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.23882732
12-08 13:21:30.871 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.060127877
12-08 13:21:30.871 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.43144453
12-08 13:21:30.871 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.67779046
12-08 13:21:30.871 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.39403892
12-08 13:21:30.891 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.032776047
12-08 13:21:30.891 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.24700296
12-08 13:21:30.891 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.44878536
12-08 13:21:30.892 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.3730867
12-08 13:21:30.911 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.088313624
12-08 13:21:30.911 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.20507218
12-08 13:21:30.911 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.42638302
12-08 13:21:30.912 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.4346197
12-08 13:21:30.933 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.095073834
12-08 13:21:30.933 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: -0.14190568
12-08 13:21:30.933 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.5079243
12-08 13:21:30.933 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.6096531
12-08 13:21:30.954 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.012276646
12-08 13:21:30.954 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.49981284
12-08 13:21:30.954 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.813925
12-08 13:21:30.954 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.48914897
12-08 13:21:30.973 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.009786449
12-08 13:21:30.973 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.5961562
12-08 13:21:30.973 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.8725991
12-08 13:21:30.973 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.38570344
12-08 13:21:30.994 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.021136783
12-08 13:21:30.994 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.3520959
12-08 13:21:30.994 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.7496937
12-08 13:21:30.994 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.2833566
12-08 13:21:31.012 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.022424709
12-08 13:21:31.012 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.33719218
12-08 13:21:31.012 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.44876045
12-08 13:21:31.012 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.27918133
12-08 13:21:31.034 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.1283785
12-08 13:21:31.034 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.3453457
12-08 13:21:31.034 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.15181157
12-08 13:21:31.034 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.14281994
12-08 13:21:31.054 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.16646898
12-08 13:21:31.054 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.26888165
12-08 13:21:31.054 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.2644521
12-08 13:21:31.054 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.29960853
12-08 13:21:31.074 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: 0.104444586
12-08 13:21:31.074 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.29715925
12-08 13:21:31.074 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.69239527
12-08 13:21:31.074 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.53810364
12-08 13:21:31.094 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.01607573
12-08 13:21:31.094 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.5736712
12-08 13:21:31.094 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.0478519
12-08 13:21:31.095 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.504411
12-08 13:21:31.113 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.13225698
12-08 13:21:31.113 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 0.93210536
12-08 13:21:31.113 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.2597433
12-08 13:21:31.113 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: -0.19381943
12-08 13:21:31.135 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.13654765
12-08 13:21:31.135 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.0442696
12-08 13:21:31.135 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -1.0181535
12-08 13:21:31.135 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.09842448
12-08 13:21:31.155 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.07411321
12-08 13:21:31.155 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.0078195
12-08 13:21:31.155 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.7372951
12-08 13:21:31.155 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.17336273
12-08 13:21:31.175 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.05570464
12-08 13:21:31.175 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.1574638
12-08 13:21:31.175 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.66870946
12-08 13:21:31.175 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.42628917
12-08 13:21:31.194 15499-15499/com.example.qianyiwang.motiondatacollection V/gry_m: -0.14803438
12-08 13:21:31.194 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_x: 1.070501
12-08 13:21:31.194 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_y: -0.78494966
12-08 13:21:31.194 15499-15499/com.example.qianyiwang.motiondatacollection V/acc_z: 0.37104696
